Omega RDXL6SD-USB Serial No. 0102-01540 - Sampled Data
Date:,2020-04-09

Time,Sample No.,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Cold Junction 1,Cold Junction 2,Cold Junction 3,Cold Junction 4,Voltage 1,Voltage 2,Voltage 3,Voltage 4,Resistance 5,Resistance 6,
,,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,mV,mV,mV,mV,Ω,Ω,
2020-04-09 21:20:29,90, 413.3, 377.7, 373.2, 362.7,High,High,  90.3,  91.4,  92.2,  92.4,7.3126,7.5541,7.4038,7.0907,High,High,
2020-04-09 21:22:29,91, 413.4, 376.8, 373.0, 363.3,High,High,  90.5,  91.5,  92.3,  92.4,7.3118,7.5273,7.3952,7.1074,High,High,
2020-04-09 21:24:29,92, 413.4, 377.2, 373.4, 364.0,High,High,  90.5,  91.6,  92.4,  92.7,7.3112,7.5371,7.4057,7.1259,High,High,
2020-04-09 21:26:29,93, 413.7, 377.2, 372.5, 364.3,High,High,  90.7,  91.7,  92.5,  92.7,7.3157,7.5359,7.3766,7.1316,High,High,
2020-04-09 21:28:29,94, 413.9, 377.5, 373.1, 364.7,High,High,  90.7,  91.7,  92.6,  92.9,7.3158,7.5400,7.3912,7.1393,High,High,
2020-04-09 21:30:29,95, 413.8, 377.0, 373.3, 364.9,High,High,  90.8,  91.8,  92.7,  92.9,7.3133,7.5243,7.3936,7.1436,High,High,
2020-04-09 21:32:29,96, 413.8, 377.3, 373.8, 365.1,High,High,  91.0,  91.9,  92.7,  93.0,7.3108,7.5318,7.4091,7.1488,High,High,
2020-04-09 21:34:29,97, 414.1, 377.2, 373.7, 365.2,High,High,  91.0,  92.0,  92.8,  93.1,7.3141,7.5242,7.4049,7.1499,High,High,
2020-04-09 21:36:29,98, 414.1, 377.5, 373.4, 365.5,High,High,  91.0,  92.0,  93.0,  93.1,7.3157,7.5346,7.3933,7.1571,High,High,
2020-04-09 21:38:29,99, 414.2, 377.5, 373.6, 365.5,High,High,  91.1,  92.0,  93.0,  93.2,7.3169,7.5329,7.3979,7.1556,High,High,
2020-04-09 21:40:29,100, 414.2, 377.2, 373.4, 365.4,High,High,  91.1,  92.2,  93.0,  93.2,7.3152,7.5231,7.3908,7.1522,High,High,
2020-04-09 21:42:29,101, 414.6, 377.8, 374.6, 365.7,High,High,  91.2,  92.2,  93.1,  93.2,7.3205,7.5387,7.4258,7.1584,High,High,
2020-04-09 21:44:29,102, 414.5, 377.7, 373.7, 365.7,High,High,  91.2,  92.3,  93.1,  93.3,7.3176,7.5333,7.3999,7.1569,High,High,
2020-04-09 21:46:29,103, 414.5, 377.6, 373.6, 365.7,High,High,  91.2,  92.3,  93.1,  93.3,7.3176,7.5311,7.3951,7.1590,High,High,
2020-04-09 21:48:29,104, 414.5, 377.2, 371.2, 365.8,High,High,  91.2,  92.4,  93.1,  93.3,7.3190,7.5212,7.3246,7.1572,High,High,
2020-04-09 21:50:29,105, 414.7, 377.5, 374.0, 365.6,High,High,  91.2,  92.3,  93.2,  93.4,7.3204,7.5288,7.4081,7.1540,High,High,
2020-04-09 21:52:29,106, 415.0, 377.4, 373.8, 365.8,High,High,  91.2,  92.2,  93.1,  93.3,7.3306,7.5273,7.4033,7.1608,High,High,
2020-04-09 21:54:29,107, 415.4, 377.4, 374.2, 365.8,High,High,  90.9,  91.8,  92.8,  93.2,7.3453,7.5345,7.4208,7.1644,High,High,
2020-04-09 21:56:29,108, 415.5, 377.5, 373.7, 365.7,High,High,  90.6,  91.7,  92.6,  93.1,7.3556,7.5409,7.4098,7.1639,High,High,
2020-04-09 21:58:29,109, 415.3, 377.6, 373.7, 365.8,High,High,  90.5,  91.6,  92.6,  93.1,7.3551,7.5472,7.4102,7.1653,High,High,
2020-04-09 22:00:29,110, 415.4, 377.0, 373.6, 366.0,High,High,  90.3,  91.6,  92.6,  93.1,7.3582,7.5301,7.4055,7.1702,High,High,
2020-04-09 22:02:29,111, 415.5, 377.8, 373.8, 365.9,High,High,  90.2,  91.4,  92.6,  93.1,7.3634,7.5566,7.4148,7.1684,High,High,
2020-04-09 22:04:29,112, 415.7, 377.8, 374.3, 365.9,High,High,  90.2,  91.4,  92.5,  93.1,7.3690,7.5566,7.4287,7.1700,High,High,
2020-04-09 22:06:29,113, 415.7, 377.8, 374.4, 365.7,High,High,  90.2,  91.4,  92.5,  93.1,7.3691,7.5566,7.4320,7.1673,High,High,
2020-04-09 22:08:29,114, 415.6, 377.6, 374.4, 366.1,High,High,  90.2,  91.5,  92.6,  93.2,7.3644,7.5489,7.4303,7.1704,High,High,
2020-04-09 22:10:29,115, 415.6, 377.7, 374.4, 366.1,High,High,  90.6,  91.8,  92.8,  93.6,7.3550,7.5435,7.4221,7.1633,High,High,
2020-04-09 22:12:29,116, 415.3, 377.5, 373.6, 366.0,High,High,  91.0,  92.3,  93.3,  93.8,7.3420,7.5280,7.3912,7.1550,High,High,
2020-04-09 22:14:29,117, 415.2, 377.3, 374.3, 365.9,High,High,  91.5,  92.6,  93.7,  94.1,7.3307,7.5151,7.4023,7.1460,High,High,
2020-04-09 22:16:29,118, 415.2, 377.7, 374.4, 366.0,High,High,  91.7,  92.9,  93.9,  94.2,7.3233,7.5181,7.4012,7.1456,High,High,
